split,vpdata_id,source_kind,source_index,source_video_id,path,start_frame,end_frame,fps,native_mask_id,planned_video_path,download_status,decode_status,file_size_bytes,sha256
train,train_pexels_000000313328_19938506_mask2,pexels,313328,19938506,000000313328_19938506.mp4,0,353,59.0,2,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000313/000000313328_19938506.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',17404302,c4a1bc05ab853b69c14f9f8fc94e28ebcd66f381bf0d06770f6c10b1d6fbb79b
train,train_pexels_000000101061_6498231_mask5,pexels,101061,6498231,000000101061_6498231.mp4,400,549,25.0,5,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000101/000000101061_6498231.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',5582004,fa3a2692d2fb48794032e8fc2c514788bb96ce335436cfaae699b2d0058b8868
train,train_pexels_000000167017_7804347_mask5,pexels,167017,7804347,000000167017_7804347.mp4,0,149,25.0,5,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000167/000000167017_7804347.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',7128831,986b811574e4aba3c1721311b419674c1216c14da3c6bc338a61aa24431039d9
train,train_pexels_000000073467_5856461_mask2,pexels,73467,5856461,000000073467_5856461.mp4,0,229,23.0,2,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000073/000000073467_5856461.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',3655187,9b2f1cf5f7dd6977e84fa2a1a973db29f78f199bc28634e4c662e0a794308b67
train,train_pexels_000000059663_5495041_mask3,pexels,59663,5495041,000000059663_5495041.mp4,600,749,25.0,3,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000059/000000059663_5495041.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',7568777,fe2f69455aea0b4b8f1a15b5aab0f3f25c792b54b267d7e059881b958e7a23af
train,train_pexels_000000115333_6767682_mask6,pexels,115333,6767682,000000115333_6767682.mp4,0,137,23.0,6,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000115/000000115333_6767682.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',5344116,10902fe6b821d7811f51544ab8d1c38326c555c5790f6a789b4341d6c9c226fe
train,train_pexels_000000147389_7426700_mask2,pexels,147389,7426700,000000147389_7426700.mp4,750,999,25.0,2,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000147/000000147389_7426700.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',20922474,d713815fe14520ed256cd0f42c88d992363a61fdf23cd8394986e1bfc4fba40e
train,train_pexels_000000171536_7934654_mask1,pexels,171536,7934654,000000171536_7934654.mp4,250,499,25.0,1,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000171/000000171536_7934654.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',11458312,9c5891d41cdb1a0fe184d8f2e9d925e052e334138433be3abdc8a0130e223118
train,train_pexels_000000224553_8995473_mask2,pexels,224553,8995473,000000224553_8995473.mp4,58,347,29.0,2,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000224/000000224553_8995473.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',7897368,8f8bcb3ece39017269d5dffd55cd08f5cfa58d517a35b3f6ca25c949d4ef8fce
train,train_pexels_000000294080_16577325_mask1,pexels,294080,16577325,000000294080_16577325.mp4,60,359,30.0,1,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000294/000000294080_16577325.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',22947710,7b6a6fd334a3f2695aa31343397b6c621e7c6c1b3676de9b652a553744fcd5ab
train,train_pexels_000000150399_7504266_mask3,pexels,150399,7504266,000000150399_7504266.mp4,0,199,25.0,3,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000150/000000150399_7504266.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',7951011,aa0c819a000657e671d669a0a3f066c585166f2d3a7949b825ef8836e1916959
train,train_pexels_000000023814_4281278_mask7,pexels,23814,4281278,000000023814_4281278.mp4,96,239,24.0,7,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000023/000000023814_4281278.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',17926753,cb28ef63a613a638d623328fd6637c8c8884e6d4cf3e5af171fe361f8b859741
train,train_pexels_000000078385_5945831_mask1,pexels,78385,5945831,000000078385_5945831.mp4,0,187,25.0,1,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000078/000000078385_5945831.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',5603806,b5958050aa7b97328f21b823a0a34c9767a0fffb729e6bb69fc268b6467a58da
train,train_pexels_000000011150_3627321_mask1,pexels,11150,3627321,000000011150_3627321.mp4,0,249,25.0,1,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000011/000000011150_3627321.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',3588868,2823e6d3e64cb2b2529b3f4b974d85e8dc7839f89b0f0b5ae5d33c648926b1d1
train,train_pexels_000000171201_7924420_mask12,pexels,171201,7924420,000000171201_7924420.mp4,50,279,25.0,12,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000171/000000171201_7924420.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',3692249,64af4308b0ab2fbc1a58639b31bd5b672639f506786705d572123fa77d84fc4e
train,train_pexels_000000233160_9391660_mask1,pexels,233160,9391660,000000233160_9391660.mp4,250,499,25.0,1,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000233/000000233160_9391660.mp4,DOWNLOADED,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe',18032279,cb08c774cc178f2c5d8c03bbe7fcb726be963d4e0efaf679e0a0789e5d06254a
