split,sample_id,source_kind,source_index,source_video_id,path,start_frame,end_frame,fps,native_mask_id,planned_video_path,reason,domain,url
train,train_pexels_000000089490_6198719_mask4,pexels,89490,6198719,000000089490_6198719.mp4,120,299,30.0,4,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000089/000000089490_6198719.mp4,DOWNLOAD_FAILED:HTTPError:HTTP Error 403: Forbidden,videos.pexels.com,https://videos.pexels.com/video-files/6198719/6198719-hd_2048_1080_30fps.mp4
train,train_pexels_000000249517_10182994_mask1,pexels,249517,10182994,000000249517_10182994.mp4,0,239,30.0,1,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000249/000000249517_10182994.mp4,DOWNLOAD_FAILED:HTTPError:HTTP Error 403: Forbidden,videos.pexels.com,https://videos.pexels.com/video-files/10182994/10182994-hd_1920_1080_30fps.mp4
train,train_pexels_000000318486_20634935_mask2,pexels,318486,20634935,000000318486_20634935.mp4,600,1199,60.0,2,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000318/000000318486_20634935.mp4,DOWNLOAD_FAILED:HTTPError:HTTP Error 403: Forbidden,videos.pexels.com,https://videos.pexels.com/video-files/20634935/20634935-hd_1920_1080_60fps.mp4
train,train_pexels_000000288053_15305718_mask4,pexels,288053,15305718,000000288053_15305718.mp4,368,505,23.0,4,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000288/000000288053_15305718.mp4,DOWNLOAD_FAILED:HTTPError:HTTP Error 403: Forbidden,videos.pexels.com,https://videos.pexels.com/video-files/15305718/15305718-hd_1920_1080_24fps.mp4
train,train_pexels_000000301517_18040529_mask1,pexels,301517,18040529,000000301517_18040529.mp4,0,599,60.0,1,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000301/000000301517_18040529.mp4,DOWNLOAD_FAILED:HTTPError:HTTP Error 403: Forbidden,videos.pexels.com,https://videos.pexels.com/video-files/18040529/18040529-hd_1080_1920_60fps.mp4
train,train_pexels_000000291031_15818386_mask2,pexels,291031,15818386,000000291031_15818386.mp4,0,137,23.0,2,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000291/000000291031_15818386.mp4,DOWNLOAD_FAILED:HTTPError:HTTP Error 403: Forbidden,videos.pexels.com,https://videos.pexels.com/video-files/15818386/15818386-hd_1920_1080_24fps.mp4
train,train_pexels_000000292692_16192022_mask9,pexels,292692,16192022,000000292692_16192022.mp4,138,367,23.0,9,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000292/000000292692_16192022.mp4,DOWNLOAD_FAILED:HTTPError:HTTP Error 403: Forbidden,videos.pexels.com,https://videos.pexels.com/video-files/16192022/16192022-hd_1920_1080_24fps.mp4
train,train_pexels_000000283023_14085166_mask6,pexels,283023,14085166,000000283023_14085166.mp4,138,348,23.0,6,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000283/000000283023_14085166.mp4,DOWNLOAD_FAILED:HTTPError:HTTP Error 403: Forbidden,videos.pexels.com,https://videos.pexels.com/video-files/14085166/14085166-hd_1920_1080_24fps.mp4
train,train_pexels_000000288002_15292165_mask3,pexels,288002,15292165,000000288002_15292165.mp4,464,637,29.0,3,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000288/000000288002_15292165.mp4,DOWNLOAD_FAILED:HTTPError:HTTP Error 403: Forbidden,videos.pexels.com,https://videos.pexels.com/video-files/15292165/15292165-hd_1920_1080_30fps.mp4
test,test_pexels_000000319521_20753537_mask18,pexels,319521,20753537,000000319521_20753537.mp4,690,919,23.0,18,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000319/000000319521_20753537.mp4,DOWNLOAD_FAILED:HTTPError:HTTP Error 403: Forbidden,videos.pexels.com,https://videos.pexels.com/video-files/20753537/20753537-hd_1920_1080_24fps.mp4
test,test_pexels_000000299470_17716904_mask3,pexels,299470,17716904,000000299470_17716904.mp4,348,521,29.0,3,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000299/000000299470_17716904.mp4,DOWNLOAD_FAILED:HTTPError:HTTP Error 403: Forbidden,videos.pexels.com,https://videos.pexels.com/video-files/17716904/17716904-hd_1080_1920_30fps.mp4
