failed_split,failed_vpdata_id,rank,replacement_vpdata_id,source_video_id,source_url,status,detail,planned_video_path,file_size_bytes,sha256,decode_status
test,test_pexels_000000299470_17716904_mask3,1,test_pexels_000000226257_9056557_mask1,9056557,https://videos.pexels.com/video-files/9056557/9056557-hd_1920_1080_25fps.mp4,DOWNLOADED,,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000226/000000226257_9056557.mp4,5272010,03cdfaa3ae657d952c3746ac9651671a2613a20d54d567f119b0c21a58a9ab9a,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe'
test,test_pexels_000000319521_20753537_mask18,1,test_pexels_000000229993_9243982_mask14,9243982,https://videos.pexels.com/video-files/9243982/9243982-hd_1080_2048_25fps.mp4,DOWNLOADED,,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000229/000000229993_9243982.mp4,21650572,2d557917618308c8086327214a23da38f4c4e56435002cfeb31098a038364f95,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe'
train,train_pexels_000000089490_6198719_mask4,1,train_pexels_000000294477_16668852_mask3,16668852,https://videos.pexels.com/video-files/16668852/16668852-hd_1920_1080_30fps.mp4,DOWNLOADED,,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000294/000000294477_16668852.mp4,53869589,938104b76c66cbde67e079fa11210618bef4cf32f9b71571e6d8a4ccfab8d092,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe'
train,train_pexels_000000249517_10182994_mask1,1,train_pexels_000000178558_8074767_mask2,8074767,https://videos.pexels.com/video-files/8074767/8074767-hd_1080_1920_24fps.mp4,DOWNLOADED,,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000178/000000178558_8074767.mp4,5001699,754ab6bf4f803aeac886d20546092b491ebc2dc818691a9c37afc04f4061b955,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe'
train,train_pexels_000000283023_14085166_mask6,1,train_pexels_000000211202_8729455_mask1,8729455,https://videos.pexels.com/video-files/8729455/8729455-hd_1080_1920_24fps.mp4,DOWNLOADED,,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000211/000000211202_8729455.mp4,5972611,3432746a142534101bcf107e4541566451e017e47e6cee5bceda63504480fc76,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe'
train,train_pexels_000000288002_15292165_mask3,1,train_pexels_000000164317_7716313_mask5,7716313,https://videos.pexels.com/video-files/7716313/7716313-hd_2048_1080_25fps.mp4,DOWNLOADED,,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000164/000000164317_7716313.mp4,13431095,11cd006683032995de66bc9055882cade9c9cb98f44fcdc1dbe897088a7bc25f,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe'
train,train_pexels_000000288053_15305718_mask4,1,train_pexels_000000049844_5199842_mask3,5199842,https://videos.pexels.com/video-files/5199842/5199842-hd_1920_1080_25fps.mp4,DOWNLOADED,,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000049/000000049844_5199842.mp4,5273880,96b23d8e116db7866ad7e50ea3521ff3d40715bd77985c6d45ea5614399b16f5,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe'
train,train_pexels_000000291031_15818386_mask2,1,train_pexels_000000157215_7619747_mask2,7619747,https://videos.pexels.com/video-files/7619747/7619747-hd_1080_1920_25fps.mp4,DOWNLOADED,,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000157/000000157215_7619747.mp4,9032898,f3da9d61ede27dfe86effbd8f545524febd5104f6f63253d16b34998262eb99b,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe'
train,train_pexels_000000292692_16192022_mask9,1,train_pexels_000000086256_6139296_mask26,6139296,https://videos.pexels.com/video-files/6139296/6139296-hd_1920_1080_25fps.mp4,DOWNLOADED,,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000086/000000086256_6139296.mp4,7326556,634ef9a329f3db85da43dc25ef26e47a4095c0e199fecf44ca82a08bcc239564,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe'
train,train_pexels_000000301517_18040529_mask1,1,train_pexels_000000311976_19803836_mask2,19803836,https://videos.pexels.com/video-files/19803836/19803836-hd_1920_1080_25fps.mp4,DOWNLOADED,,/home/nvme01/H20_Video_inpainting_DPO/data/external/vpdata_exp60b_h20_staging/raw_subset/raw_video/pexels/000000311/000000311976_19803836.mp4,10254307,760741cf7321e68d9372d5a3e7578f86af28c6599620471ece97399c376518fa,FFPROBE_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'ffprobe'
