group,member_path,sample_id,type,size,status,reason,output_path
VOR-Train,VOR-Train/BG/BLENDER_CON001_00115.mp4,BLENDER_CON001_00115,file,305610,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_gate128_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_CON001_00115.mp4
VOR-Train,VOR-Train/BG/BLENDER_CON001_00761.mp4,BLENDER_CON001_00761,file,306074,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_gate128_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_CON001_00761.mp4
VOR-Train,VOR-Train/BG/REAL_ENV171_00016_007_01.mp4,REAL_ENV171_00016_007_01,file,1593971,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_gate128_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV171_00016_007_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV166_00008_006_03.mp4,REAL_ENV166_00008_006_03,file,518556,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_gate128_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV166_00008_006_03.mp4
VOR-Train,VOR-Train/BG/BLENDER_CON001_00131.mp4,BLENDER_CON001_00131,file,277079,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_gate128_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_CON001_00131.mp4
VOR-Train,VOR-Train/BG/REAL_ENV202_00003_007_04.mp4,REAL_ENV202_00003_007_04,file,6653101,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_gate128_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV202_00003_007_04.mp4
VOR-Train,VOR-Train/BG/BLENDER_CON001_00345.mp4,BLENDER_CON001_00345,file,370105,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_gate128_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_CON001_00345.mp4
VOR-Train,VOR-Train/BG/REAL_ENV176_00015_004_02.mp4,REAL_ENV176_00015_004_02,file,8669715,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_gate128_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV176_00015_004_02.mp4
VOR-Train,VOR-Train/BG/BLENDER_CON001_00332.mp4,BLENDER_CON001_00332,file,366137,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_gate128_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_CON001_00332.mp4
VOR-Train,VOR-Train/BG/REAL_ENV164_00004_007_01.mp4,REAL_ENV164_00004_007_01,file,622751,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_gate128_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV164_00004_007_01.mp4
