group,member_path,sample_id,type,size,status,reason,output_path
VOR-Train,VOR-Train/BG/BLENDER_RIVER014_00498.mp4,BLENDER_RIVER014_00498,file,424634,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_RIVER014_00498.mp4
VOR-Train,VOR-Train/BG/REAL_ENV212_00011_001_01.mp4,REAL_ENV212_00011_001_01,file,1039361,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV212_00011_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV166_00002_001_02.mp4,REAL_ENV166_00002_001_02,file,546836,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV166_00002_001_02.mp4
VOR-Train,VOR-Train/BG/REAL_ENV242_00110_001_04.mp4,REAL_ENV242_00110_001_04,file,2580776,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV242_00110_001_04.mp4
VOR-Train,VOR-Train/BG/BLENDER_BEACH030_00003.mp4,BLENDER_BEACH030_00003,file,15113079,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_BEACH030_00003.mp4
VOR-Train,VOR-Train/BG/BLENDER_LAVA001_00001.mp4,BLENDER_LAVA001_00001,file,2840182,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_LAVA001_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV282_00103_003_01.mp4,REAL_ENV282_00103_003_01,file,4403105,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV282_00103_003_01.mp4
VOR-Train,VOR-Train/BG/BLENDER_BEDROOM009_00083.mp4,BLENDER_BEDROOM009_00083,file,243827,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_BEDROOM009_00083.mp4
VOR-Train,VOR-Train/BG/BLENDER_WAREHOUSE005_00005.mp4,BLENDER_WAREHOUSE005_00005,file,6239497,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_WAREHOUSE005_00005.mp4
VOR-Train,VOR-Train/BG/REAL_ENV251_00004_004_02.mp4,REAL_ENV251_00004_004_02,file,4796941,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV251_00004_004_02.mp4
VOR-Train,VOR-Train/BG/BLENDER_FOREST026_00020.mp4,BLENDER_FOREST026_00020,file,685573,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_FOREST026_00020.mp4
VOR-Train,VOR-Train/BG/BLENDER_STREET009_00002.mp4,BLENDER_STREET009_00002,file,7650333,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_STREET009_00002.mp4
VOR-Train,VOR-Train/BG/REAL_ENV096_00002_001_05.mp4,REAL_ENV096_00002_001_05,file,6405431,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV096_00002_001_05.mp4
VOR-Train,VOR-Train/BG/REAL_ENV097_00001_002_02.mp4,REAL_ENV097_00001_002_02,file,690991,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV097_00001_002_02.mp4
VOR-Train,VOR-Train/BG/REAL_ENV216_00007_004_03.mp4,REAL_ENV216_00007_004_03,file,404153,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV216_00007_004_03.mp4
VOR-Train,VOR-Train/BG/BLENDER_WAREHOUSE024_00004.mp4,BLENDER_WAREHOUSE024_00004,file,328655,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_WAREHOUSE024_00004.mp4
VOR-Train,VOR-Train/BG/BLENDER_WAREHOUSE018_00001.mp4,BLENDER_WAREHOUSE018_00001,file,349628,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_WAREHOUSE018_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV158_00002_005_04.mp4,REAL_ENV158_00002_005_04,file,5546409,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV158_00002_005_04.mp4
VOR-Train,VOR-Train/BG/REAL_ENV249_00103_004_04.mp4,REAL_ENV249_00103_004_04,file,2700989,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV249_00103_004_04.mp4
VOR-Train,VOR-Train/BG/REAL_ENV279_00104_003_05.mp4,REAL_ENV279_00104_003_05,file,3257991,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV279_00104_003_05.mp4
VOR-Train,VOR-Train/BG/BLENDER_BEACH036_00001.mp4,BLENDER_BEACH036_00001,file,2167178,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_BEACH036_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV026_00001_002_02.mp4,REAL_ENV026_00001_002_02,file,1780331,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV026_00001_002_02.mp4
VOR-Train,VOR-Train/BG/REAL_ENV156_00012_004_05.mp4,REAL_ENV156_00012_004_05,file,5716246,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV156_00012_004_05.mp4
VOR-Train,VOR-Train/BG/BLENDER_WAREHOUSE012_00766.mp4,BLENDER_WAREHOUSE012_00766,file,329612,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_WAREHOUSE012_00766.mp4
VOR-Train,VOR-Train/BG/REAL_ENV161_00016_004_01.mp4,REAL_ENV161_00016_004_01,file,2094528,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV161_00016_004_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV158_00005_002_01.mp4,REAL_ENV158_00005_002_01,file,5420012,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV158_00005_002_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV183_00013_003_03.mp4,REAL_ENV183_00013_003_03,file,568119,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV183_00013_003_03.mp4
VOR-Train,VOR-Train/BG/BLENDER_FOREST010_00004.mp4,BLENDER_FOREST010_00004,file,7124854,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_FOREST010_00004.mp4
VOR-Train,VOR-Train/BG/BLENDER_FOREST009_00013.mp4,BLENDER_FOREST009_00013,file,373276,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_FOREST009_00013.mp4
VOR-Train,VOR-Train/BG/REAL_ENV005_00003_003_05.mp4,REAL_ENV005_00003_003_05,file,6639715,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV005_00003_003_05.mp4
VOR-Train,VOR-Train/BG/REAL_ENV172_00008_007_01.mp4,REAL_ENV172_00008_007_01,file,1274406,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV172_00008_007_01.mp4
VOR-Train,VOR-Train/BG/BLENDER_CARTOON002_00001.mp4,BLENDER_CARTOON002_00001,file,2413784,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_CARTOON002_00001.mp4
VOR-Train,VOR-Train/BG/BLENDER_DESERT004_00001.mp4,BLENDER_DESERT004_00001,file,1634078,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_DESERT004_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV105_00001_001_03.mp4,REAL_ENV105_00001_001_03,file,763121,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV105_00001_001_03.mp4
VOR-Train,VOR-Train/BG/BLENDER_DESERT005_00006.mp4,BLENDER_DESERT005_00006,file,436516,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_DESERT005_00006.mp4
VOR-Train,VOR-Train/BG/REAL_ENV198_00006_001_02.mp4,REAL_ENV198_00006_001_02,file,2007759,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV198_00006_001_02.mp4
VOR-Train,VOR-Train/BG/REAL_ENV158_00001_006_04.mp4,REAL_ENV158_00001_006_04,file,5254664,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV158_00001_006_04.mp4
VOR-Train,VOR-Train/BG/REAL_ENV218_00101_007_01.mp4,REAL_ENV218_00101_007_01,file,2631102,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV218_00101_007_01.mp4
VOR-Train,VOR-Train/BG/BLENDER_RIVER007_00001.mp4,BLENDER_RIVER007_00001,file,1335271,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_RIVER007_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV248_00118_005_03.mp4,REAL_ENV248_00118_005_03,file,2869282,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV248_00118_005_03.mp4
VOR-Train,VOR-Train/BG/REAL_ENV231_00010_003_03.mp4,REAL_ENV231_00010_003_03,file,4861347,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV231_00010_003_03.mp4
VOR-Train,VOR-Train/BG/REAL_ENV188_00005_001_04.mp4,REAL_ENV188_00005_001_04,file,2779505,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV188_00005_001_04.mp4
VOR-Train,VOR-Train/BG/REAL_ENV222_00103_002_02.mp4,REAL_ENV222_00103_002_02,file,7468545,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV222_00103_002_02.mp4
VOR-Train,VOR-Train/BG/REAL_ENV239_00102_001_01.mp4,REAL_ENV239_00102_001_01,file,3499323,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV239_00102_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV144_00001_002_01.mp4,REAL_ENV144_00001_002_01,file,1463120,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV144_00001_002_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV167_00003_007_01.mp4,REAL_ENV167_00003_007_01,file,1735066,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV167_00003_007_01.mp4
VOR-Train,VOR-Train/BG/BLENDER_MOUNTAIN002_00001.mp4,BLENDER_MOUNTAIN002_00001,file,332831,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_MOUNTAIN002_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV216_00004_001_02.mp4,REAL_ENV216_00004_001_02,file,285038,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV216_00004_001_02.mp4
VOR-Train,VOR-Train/BG/BLENDER_FOREST013_00008.mp4,BLENDER_FOREST013_00008,file,260584,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_FOREST013_00008.mp4
VOR-Train,VOR-Train/BG/REAL_ENV800_00008_001_03.mp4,REAL_ENV800_00008_001_03,file,6465652,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV800_00008_001_03.mp4
VOR-Train,VOR-Train/BG/BLENDER_WAREHOUSE001_00004.mp4,BLENDER_WAREHOUSE001_00004,file,236563,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_WAREHOUSE001_00004.mp4
VOR-Train,VOR-Train/BG/REAL_ENV167_00007_001_04.mp4,REAL_ENV167_00007_001_04,file,2061795,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV167_00007_001_04.mp4
VOR-Train,VOR-Train/BG/REAL_ENV212_00006_001_02.mp4,REAL_ENV212_00006_001_02,file,1580669,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV212_00006_001_02.mp4
VOR-Train,VOR-Train/BG/REAL_ENV201_00002_003_02.mp4,REAL_ENV201_00002_003_02,file,1202727,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV201_00002_003_02.mp4
VOR-Train,VOR-Train/BG/REAL_ENV134_00005_006_01.mp4,REAL_ENV134_00005_006_01,file,247744,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV134_00005_006_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV155_00015_003_02.mp4,REAL_ENV155_00015_003_02,file,7686715,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV155_00015_003_02.mp4
VOR-Train,VOR-Train/BG/BLENDER_RIVER001_00002.mp4,BLENDER_RIVER001_00002,file,758032,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_RIVER001_00002.mp4
VOR-Train,VOR-Train/BG/REAL_ENV180_00009_005_05.mp4,REAL_ENV180_00009_005_05,file,4800016,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV180_00009_005_05.mp4
VOR-Train,VOR-Train/BG/REAL_ENV194_00006_003_05.mp4,REAL_ENV194_00006_003_05,file,895858,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV194_00006_003_05.mp4
VOR-Train,VOR-Train/BG/REAL_ENV230_00101_002_05.mp4,REAL_ENV230_00101_002_05,file,3203324,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV230_00101_002_05.mp4
VOR-Train,VOR-Train/BG/BLENDER_STREET008_00006.mp4,BLENDER_STREET008_00006,file,318761,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_STREET008_00006.mp4
VOR-Train,VOR-Train/BG/BLENDER_FOREST029_00001.mp4,BLENDER_FOREST029_00001,file,754156,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_FOREST029_00001.mp4
